Q1: Age group (Ordinal);Q2: Gender (Nominal);Q3: Country (Nominal);Q4: Organisation size (employees) (Ordinal);Q5: Industry (Nominal);Q6: Years of active investment experience (Ratio);Q7: Investor acquisition events attended (past 2 yrs) (Ratio);Q8: Typical single deal size considered (Ratio);Q9: Follow-up meetings planned from today's event (Ratio);Q10: Overall satisfaction with this event (Ordinal);Q11: Relevance of deal flow to investment strategy (Ordinal);Q12: Quality of networking opportunities (Ordinal);Q13: Likelihood to recommend this event to a peer (Ordinal);Q14: Preferred format for future events (Nominal);Q15: Additional investors from your network you might invite (Ratio);Q16: How would you describe the atmosphere of this event? (Text);Q17: How do you assess the probability of successful acquisitions resulting from this event? (Text);Q18: What would motivate you to participate in a future edition of this event? (Text)
30 - 39;Female;Other EU;250 - 999 (large);Energy / Cleantech;27;5;50;1;1;2;3;2;In-person only;1;I found the atmosphere a bit chaotic. The schedule ran late and the session transitions were poorly managed.;Unlikely to result in an acquisition for us. The industries represented did not overlap with our current investment thesis.;A complete overhaul of the presentation format is needed. Shorter pitches and more Q&A time would make the sessions more useful.
Under 30;Male;United Kingdom;250 - 999 (large);Energy / Cleantech;14;2;600;1;2;2;2;1;In-person only;0;The atmosphere felt somewhat stiff and overly formal. It was difficult to break the ice with other attendees.;Disappointed by the quality of the pipeline. Many presentations lacked the financial rigour we require before entering any serious dialogue.;For me to return, the event would need to be shorter and more focused. The current format covers too many industries superficially.
30 - 39;Male;Other EU;10 - 49 (small);Energy / Cleantech;25;2;1250;1;3;3;2;4;In-person only;3;The atmosphere was mixed. Morning sessions felt energetic but the afternoon became noticeably quieter.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
30 - 39;Male;United States;250 - 999 (large);Energy / Cleantech;10;0;200;2;2;3;2;2;Hybrid (in-person + virtual);1;A functional and professional setting. The atmosphere was neutral — neither especially inspiring nor off-putting.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
30 - 39;Female;Germany;1,000+ (enterprise);Consumer Goods;28;7;1350;1;3;4;3;3;Fully virtual;1;A functional and professional setting. The atmosphere was neutral — neither especially inspiring nor off-putting.;There is potential but also significant uncertainty. I would estimate a 30 to 40 percent chance of one deal moving forward.;I am open to returning. Better on-site facilitation and a networking app would help maximise the value of the event.
50 - 59;Male;Netherlands;50 - 249 (medium);Financial Services;17;4;300;1;1;2;3;1;Hybrid (in-person + virtual);2;Rather underwhelming. The venue was too large for the number of participants, which made the event feel sparse and impersonal.;Low probability from my perspective. Several companies were still at ideation stage, which is too early for our fund mandate.;I would only return if the networking format was redesigned. Open mingling does not work well for serious investors with specific mandates.
Under 30;Male;United Kingdom;250 - 999 (large);Healthcare / Life Sciences;17;2;550;2;4;5;3;3;In-person only;3;The event had a professional yet relaxed ambiance. I appreciated the balance between structured sessions and open networking time.;I see a strong probability of at least two deals progressing from today. Several companies matched our thesis precisely and follow-up calls are already scheduled.;I would return without hesitation. The quality of participants and the event structure made it one of the better investor events I have attended this year.
30 - 39;Male;United Kingdom;1 - 9 (micro);Technology / Software;10;4;150;3;2;3;3;3;Hybrid (in-person + virtual);2;The atmosphere was mixed. Morning sessions felt energetic but the afternoon became noticeably quieter.;There is potential but also significant uncertainty. I would estimate a 30 to 40 percent chance of one deal moving forward.;I am open to returning. Better on-site facilitation and a networking app would help maximise the value of the event.
Under 30;Male;Switzerland;50 - 249 (medium);Technology / Software;17;9;550;1;4;2;4;3;No preference;2;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
30 - 39;Female;Germany;1 - 9 (micro);Technology / Software;8;5;1000;0;2;4;4;3;No preference;2;The atmosphere was mixed. Morning sessions felt energetic but the afternoon became noticeably quieter.;Moderate probability overall. A couple of companies are interesting but require further due diligence before I can assess seriously.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
40 - 49;Other;Other non-EU;50 - 249 (medium);Technology / Software;14;0;950;1;3;5;2;4;No preference;5;The atmosphere exceeded my expectations. Well-organised, attentive staff and a high-calibre crowd made the day truly worthwhile.;I left with a strong sense that at least one deal will close. The matching between investor focus areas and company profiles was well done.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
30 - 39;Female;Netherlands;250 - 999 (large);Energy / Cleantech;10;7;1000;3;5;4;4;5;Hybrid (in-person + virtual);3;Inspiring and dynamic. The mix of experienced investors and ambitious founders created a productive tension that I found energising.;Probability looks solid. One deal stood out as near investment-ready and I am already discussing it with my partners.;Very likely to return. If the organisers add a dedicated deep-dive track for specific sectors it would further increase the value.
30 - 39;Male;France;250 - 999 (large);Technology / Software;5;6;650;2;3;2;3;3;Hybrid (in-person + virtual);0;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
40 - 49;Prefer not to say;Netherlands;250 - 999 (large);Other;19;5;350;4;5;4;4;5;Hybrid (in-person + virtual);7;Warm and collaborative spirit throughout. I felt comfortable approaching anyone, which is a sign of excellent event design.;Good prospects for at least one acquisition. The level of preparation from the founders was impressive and valuations seemed reasonable.;A more focused industry track and pre-scheduled one-on-one meetings would make me return. The overall format is already strong.
40 - 49;Male;United Kingdom;250 - 999 (large);Technology / Software;12;5;1050;1;3;4;4;4;Hybrid (in-person + virtual);2;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
Under 30;Female;Germany;1,000+ (enterprise);Financial Services;7;1;400;3;5;4;3;3;Hybrid (in-person + virtual);3;A functional and professional setting. The atmosphere was neutral — neither especially inspiring nor off-putting.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
50 - 59;Male;United Kingdom;10 - 49 (small);Consumer Goods;11;6;1000;4;5;4;4;4;Hybrid (in-person + virtual);1;Very positive atmosphere. There was a genuine sense of mutual interest among attendees, which is rare at events of this scale.;I left with a strong sense that at least one deal will close. The matching between investor focus areas and company profiles was well done.;Continuing with the same high quality of curated companies and investors would ensure my participation in the next edition.
Under 30;Non-binary / gender diverse;Netherlands;250 - 999 (large);Consumer Goods;7;6;600;2;1;3;2;4;Hybrid (in-person + virtual);0;The energy was low. Many attendees seemed disengaged during the presentations and the networking breaks were too short.;The probability feels low. While some founders were impressive, the valuations asked were significantly above what the traction justified.;For me to return, the event would need to be shorter and more focused. The current format covers too many industries superficially.
Under 30;Female;Other EU;10 - 49 (small);Other;17;6;1200;0;3;2;3;1;No preference;0;Disappointing ambiance. The noise level in the networking area made it nearly impossible to have focused conversations.;The probability feels low. While some founders were impressive, the valuations asked were significantly above what the traction justified.;For me to return, the event would need to be shorter and more focused. The current format covers too many industries superficially.
60 or older;Male;United Kingdom;50 - 249 (medium);Financial Services;25;5;900;2;4;3;5;4;No preference;1;Warm and collaborative spirit throughout. I felt comfortable approaching anyone, which is a sign of excellent event design.;I left with a strong sense that at least one deal will close. The matching between investor focus areas and company profiles was well done.;Continuing with the same high quality of curated companies and investors would ensure my participation in the next edition.
60 or older;Male;Other EU;10 - 49 (small);Consumer Goods;16;5;1000;6;5;4;4;5;Hybrid (in-person + virtual);5;Inspiring and dynamic. The mix of experienced investors and ambitious founders created a productive tension that I found energising.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
30 - 39;Female;Germany;50 - 249 (medium);Financial Services;7;3;1300;5;5;4;5;5;No preference;3;Warm and collaborative spirit throughout. I felt comfortable approaching anyone, which is a sign of excellent event design.;Good prospects for at least one acquisition. The level of preparation from the founders was impressive and valuations seemed reasonable.;The event is already compelling. A slightly longer networking window and better materials from companies would make it unmissable.
40 - 49;Male;United States;1,000+ (enterprise);Consumer Goods;6;1;950;2;4;4;4;4;Hybrid (in-person + virtual);5;Excellent energy throughout the day. The organisers clearly curated the guest list carefully, which made every interaction feel purposeful.;Higher probability than I initially expected. Three of the presenting companies were in sectors where we are actively deploying capital.;Very likely to return. If the organisers add a dedicated deep-dive track for specific sectors it would further increase the value.
50 - 59;Prefer not to say;Other non-EU;250 - 999 (large);Financial Services;8;6;450;4;4;4;4;5;In-person only;3;The atmosphere was vibrant and welcoming. Conversations flowed naturally and the venue created an ideal setting for meaningful exchanges.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;Very likely to return. If the organisers add a dedicated deep-dive track for specific sectors it would further increase the value.
40 - 49;Male;United States;1,000+ (enterprise);Consumer Goods;21;3;1500;0;2;1;2;2;Hybrid (in-person + virtual);0;The atmosphere felt somewhat stiff and overly formal. It was difficult to break the ice with other attendees.;Disappointed by the quality of the pipeline. Many presentations lacked the financial rigour we require before entering any serious dialogue.;The event would need to attract more senior decision-makers. Too many attendees were junior representatives without deal authority.
30 - 39;Male;United Kingdom;10 - 49 (small);Financial Services;21;4;500;5;4;5;5;5;No preference;4;Inspiring and dynamic. The mix of experienced investors and ambitious founders created a productive tension that I found energising.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
30 - 39;Female;Germany;50 - 249 (medium);Real Estate;12;2;1250;1;5;3;2;3;In-person only;2;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
50 - 59;Male;Other non-EU;1,000+ (enterprise);Technology / Software;9;4;800;1;4;4;4;4;In-person only;4;Warm and collaborative spirit throughout. I felt comfortable approaching anyone, which is a sign of excellent event design.;Probability looks solid. One deal stood out as near investment-ready and I am already discussing it with my partners.;A more focused industry track and pre-scheduled one-on-one meetings would make me return. The overall format is already strong.
40 - 49;Female;Germany;1,000+ (enterprise);Consumer Goods;6;4;600;2;3;4;4;2;No preference;1;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;Moderate probability overall. A couple of companies are interesting but require further due diligence before I can assess seriously.;I would return if a colleague recommended it and if the industries represented shifted more towards our current portfolio strategy.
50 - 59;Male;United States;250 - 999 (large);Real Estate;9;5;400;3;3;3;5;4;Fully virtual;6;Buzzing with energy from start to finish. The format encouraged real dialogue rather than superficial small talk.;Higher probability than I initially expected. Three of the presenting companies were in sectors where we are actively deploying capital.;Continuing with the same high quality of curated companies and investors would ensure my participation in the next edition.
50 - 59;Female;Germany;50 - 249 (medium);Technology / Software;7;0;1700;3;3;2;4;4;In-person only;1;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;I am open to returning. Better on-site facilitation and a networking app would help maximise the value of the event.
40 - 49;Female;Germany;50 - 249 (medium);Other;11;2;700;2;3;2;2;4;In-person only;2;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;I would return if a colleague recommended it and if the industries represented shifted more towards our current portfolio strategy.
50 - 59;Other;United Kingdom;250 - 999 (large);Other;10;6;700;2;4;4;4;4;In-person only;4;The event had a professional yet relaxed ambiance. I appreciated the balance between structured sessions and open networking time.;Good prospects for at least one acquisition. The level of preparation from the founders was impressive and valuations seemed reasonable.;The event is already compelling. A slightly longer networking window and better materials from companies would make it unmissable.
40 - 49;Female;Germany;1,000+ (enterprise);Real Estate;11;5;300;0;2;2;1;3;Fully virtual;1;Disappointing ambiance. The noise level in the networking area made it nearly impossible to have focused conversations.;Unlikely to result in an acquisition for us. The industries represented did not overlap with our current investment thesis.;A complete overhaul of the presentation format is needed. Shorter pitches and more Q&A time would make the sessions more useful.
30 - 39;Non-binary / gender diverse;Switzerland;1 - 9 (micro);Other;11;1;1050;3;4;5;5;4;Hybrid (in-person + virtual);3;Buzzing with energy from start to finish. The format encouraged real dialogue rather than superficial small talk.;Probability looks solid. One deal stood out as near investment-ready and I am already discussing it with my partners.;Continuing with the same high quality of curated companies and investors would ensure my participation in the next edition.
40 - 49;Female;Germany;1,000+ (enterprise);Consumer Goods;12;6;1100;2;2;2;2;1;Fully virtual;1;I found the atmosphere a bit chaotic. The schedule ran late and the session transitions were poorly managed.;Disappointed by the quality of the pipeline. Many presentations lacked the financial rigour we require before entering any serious dialogue.;I would need to see significant improvements in deal flow quality and tighter vetting of presenting companies before considering a return.
50 - 59;Non-binary / gender diverse;France;250 - 999 (large);Consumer Goods;20;3;750;0;2;1;3;2;No preference;1;The atmosphere lacked direction. Without a clear facilitation structure the networking time quickly became unproductive.;Unlikely to result in an acquisition for us. The industries represented did not overlap with our current investment thesis.;I would only return if the networking format was redesigned. Open mingling does not work well for serious investors with specific mandates.
30 - 39;Male;Other EU;250 - 999 (large);Financial Services;12;4;1150;1;2;1;1;1;Hybrid (in-person + virtual);1;The atmosphere felt somewhat stiff and overly formal. It was difficult to break the ice with other attendees.;Unfortunately not very promising. The deal flow did not align well with our sector focus and the financials on most companies were not compelling.;For me to return, the event would need to be shorter and more focused. The current format covers too many industries superficially.
50 - 59;Male;Netherlands;10 - 49 (small);Technology / Software;11;7;600;0;1;2;2;2;In-person only;1;Rather underwhelming. The venue was too large for the number of participants, which made the event feel sparse and impersonal.;Most companies were not investment-ready. Without more developed metrics and clearer go-to-market plans, deals are unlikely to progress quickly.;I would only return if the networking format was redesigned. Open mingling does not work well for serious investors with specific mandates.
30 - 39;Male;Netherlands;250 - 999 (large);Healthcare / Life Sciences;15;7;850;1;3;1;1;1;No preference;0;The atmosphere lacked direction. Without a clear facilitation structure the networking time quickly became unproductive.;Disappointed by the quality of the pipeline. Many presentations lacked the financial rigour we require before entering any serious dialogue.;For me to return, the event would need to be shorter and more focused. The current format covers too many industries superficially.
Under 30;Non-binary / gender diverse;Germany;50 - 249 (medium);Financial Services;14;0;1200;4;5;4;4;4;Hybrid (in-person + virtual);1;The atmosphere exceeded my expectations. Well-organised, attentive staff and a high-calibre crowd made the day truly worthwhile.;Very promising. One company in particular aligned perfectly with our portfolio strategy and I intend to arrange a deeper due diligence meeting next week.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
30 - 39;Female;Other EU;250 - 999 (large);Other;11;6;550;2;3;2;1;4;Hybrid (in-person + virtual);1;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;Mixed impressions. Some deals could progress if the companies address specific concerns I raised during our conversations.;I am open to returning. Better on-site facilitation and a networking app would help maximise the value of the event.
30 - 39;Female;Other EU;50 - 249 (medium);Financial Services;9;3;850;4;4;5;4;4;No preference;7;The event had a professional yet relaxed ambiance. I appreciated the balance between structured sessions and open networking time.;I left with a strong sense that at least one deal will close. The matching between investor focus areas and company profiles was well done.;If the event maintained its focus on mid-market opportunities and expanded the panel discussions, I would certainly attend again.
60 or older;Female;Other non-EU;50 - 249 (medium);Manufacturing / Industry;3;3;1000;2;4;4;3;3;Fully virtual;0;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;I am open to returning. Better on-site facilitation and a networking app would help maximise the value of the event.
40 - 49;Male;Netherlands;1,000+ (enterprise);Financial Services;7;5;450;4;3;3;4;3;In-person only;2;The event had a professional yet relaxed ambiance. I appreciated the balance between structured sessions and open networking time.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;If the event maintained its focus on mid-market opportunities and expanded the panel discussions, I would certainly attend again.
50 - 59;Female;United States;1,000+ (enterprise);Technology / Software;4;0;550;1;2;1;3;2;No preference;0;The venue was uncomfortable and overcrowded, which negatively affected the overall experience from the start.;Unfortunately not very promising. The deal flow did not align well with our sector focus and the financials on most companies were not compelling.;I would need to see significant improvements in deal flow quality and tighter vetting of presenting companies before considering a return.
40 - 49;Female;Germany;250 - 999 (large);Real Estate;24;1;600;2;3;3;2;3;In-person only;0;The atmosphere was mixed. Morning sessions felt energetic but the afternoon became noticeably quieter.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
60 or older;Female;United States;10 - 49 (small);Energy / Cleantech;23;4;1350;0;2;2;2;1;Hybrid (in-person + virtual);0;The energy was low. Many attendees seemed disengaged during the presentations and the networking breaks were too short.;Unfortunately not very promising. The deal flow did not align well with our sector focus and the financials on most companies were not compelling.;A complete overhaul of the presentation format is needed. Shorter pitches and more Q&A time would make the sessions more useful.
Under 30;Female;Other EU;10 - 49 (small);Financial Services;8;6;900;2;3;3;2;2;Fully virtual;3;The atmosphere was mixed. Morning sessions felt energetic but the afternoon became noticeably quieter.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
50 - 59;Female;United Kingdom;10 - 49 (small);Technology / Software;18;7;600;2;3;3;2;3;Hybrid (in-person + virtual);2;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;I am open to returning. Better on-site facilitation and a networking app would help maximise the value of the event.
60 or older;Prefer not to say;Other non-EU;1,000+ (enterprise);Technology / Software;22;6;750;1;3;3;5;4;In-person only;2;Very positive atmosphere. There was a genuine sense of mutual interest among attendees, which is rare at events of this scale.;I left with a strong sense that at least one deal will close. The matching between investor focus areas and company profiles was well done.;Very likely to return. If the organisers add a dedicated deep-dive track for specific sectors it would further increase the value.
50 - 59;Female;United States;50 - 249 (medium);Energy / Cleantech;25;2;1200;1;2;2;1;1;In-person only;0;The energy was low. Many attendees seemed disengaged during the presentations and the networking breaks were too short.;I see limited probability of a successful acquisition. The companies presented were either outside our investment stage or had unrealistic valuations.;The event would need to attract more senior decision-makers. Too many attendees were junior representatives without deal authority.
30 - 39;Non-binary / gender diverse;Switzerland;10 - 49 (small);Technology / Software;14;6;350;5;4;5;5;5;Hybrid (in-person + virtual);4;The event had a professional yet relaxed ambiance. I appreciated the balance between structured sessions and open networking time.;I see a strong probability of at least two deals progressing from today. Several companies matched our thesis precisely and follow-up calls are already scheduled.;If the event maintained its focus on mid-market opportunities and expanded the panel discussions, I would certainly attend again.
40 - 49;Male;Germany;250 - 999 (large);Manufacturing / Industry;15;5;350;2;3;3;3;2;Hybrid (in-person + virtual);3;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;Moderate probability overall. A couple of companies are interesting but require further due diligence before I can assess seriously.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
50 - 59;Male;Other EU;250 - 999 (large);Technology / Software;12;6;1300;0;2;2;1;2;No preference;0;The event felt rushed and poorly paced. There was little opportunity to connect meaningfully with other participants.;I see limited probability of a successful acquisition. The companies presented were either outside our investment stage or had unrealistic valuations.;I am unlikely to return unless the organisers address the poor time management and improve the quality of the briefing materials.
50 - 59;Prefer not to say;Germany;10 - 49 (small);Financial Services;9;5;1250;0;2;1;3;3;Hybrid (in-person + virtual);0;The venue was uncomfortable and overcrowded, which negatively affected the overall experience from the start.;Unlikely to result in an acquisition for us. The industries represented did not overlap with our current investment thesis.;I am unlikely to return unless the organisers address the poor time management and improve the quality of the briefing materials.
Under 30;Female;Switzerland;50 - 249 (medium);Real Estate;8;3;1150;0;2;2;2;1;Hybrid (in-person + virtual);0;The event felt rushed and poorly paced. There was little opportunity to connect meaningfully with other participants.;I see limited probability of a successful acquisition. The companies presented were either outside our investment stage or had unrealistic valuations.;I would only return if the networking format was redesigned. Open mingling does not work well for serious investors with specific mandates.
50 - 59;Female;Germany;50 - 249 (medium);Technology / Software;1;6;50;2;3;3;3;3;Hybrid (in-person + virtual);1;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;There is potential but also significant uncertainty. I would estimate a 30 to 40 percent chance of one deal moving forward.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
40 - 49;Female;France;250 - 999 (large);Healthcare / Life Sciences;3;0;1900;1;1;4;1;2;In-person only;0;The atmosphere felt somewhat stiff and overly formal. It was difficult to break the ice with other attendees.;I see limited probability of a successful acquisition. The companies presented were either outside our investment stage or had unrealistic valuations.;I am unlikely to return unless the organisers address the poor time management and improve the quality of the briefing materials.
40 - 49;Male;Germany;50 - 249 (medium);Energy / Cleantech;22;4;700;2;3;4;1;2;Hybrid (in-person + virtual);0;Rather underwhelming. The venue was too large for the number of participants, which made the event feel sparse and impersonal.;Disappointed by the quality of the pipeline. Many presentations lacked the financial rigour we require before entering any serious dialogue.;I would only return if the networking format was redesigned. Open mingling does not work well for serious investors with specific mandates.
30 - 39;Male;Germany;50 - 249 (medium);Manufacturing / Industry;20;4;250;0;1;2;3;3;Fully virtual;1;The energy was low. Many attendees seemed disengaged during the presentations and the networking breaks were too short.;Low probability from my perspective. Several companies were still at ideation stage, which is too early for our fund mandate.;A complete overhaul of the presentation format is needed. Shorter pitches and more Q&A time would make the sessions more useful.
50 - 59;Male;Germany;50 - 249 (medium);Real Estate;24;6;900;0;3;2;1;3;Fully virtual;1;The atmosphere lacked direction. Without a clear facilitation structure the networking time quickly became unproductive.;Most companies were not investment-ready. Without more developed metrics and clearer go-to-market plans, deals are unlikely to progress quickly.;For me to return, the event would need to be shorter and more focused. The current format covers too many industries superficially.
50 - 59;Male;France;10 - 49 (small);Technology / Software;10;6;250;1;2;3;5;4;No preference;0;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
50 - 59;Male;United Kingdom;50 - 249 (medium);Healthcare / Life Sciences;21;9;200;6;3;4;5;5;In-person only;3;Inspiring and dynamic. The mix of experienced investors and ambitious founders created a productive tension that I found energising.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;A more focused industry track and pre-scheduled one-on-one meetings would make me return. The overall format is already strong.
60 or older;Female;Switzerland;50 - 249 (medium);Consumer Goods;10;4;1100;2;2;3;4;3;Hybrid (in-person + virtual);2;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;There is potential but also significant uncertainty. I would estimate a 30 to 40 percent chance of one deal moving forward.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
40 - 49;Male;Germany;50 - 249 (medium);Manufacturing / Industry;14;5;450;1;2;4;3;1;No preference;1;The venue was uncomfortable and overcrowded, which negatively affected the overall experience from the start.;Most companies were not investment-ready. Without more developed metrics and clearer go-to-market plans, deals are unlikely to progress quickly.;I would only return if the networking format was redesigned. Open mingling does not work well for serious investors with specific mandates.
60 or older;Female;Other non-EU;1,000+ (enterprise);Real Estate;7;4;250;6;4;4;4;4;Hybrid (in-person + virtual);1;Warm and collaborative spirit throughout. I felt comfortable approaching anyone, which is a sign of excellent event design.;I see a strong probability of at least two deals progressing from today. Several companies matched our thesis precisely and follow-up calls are already scheduled.;The event is already compelling. A slightly longer networking window and better materials from companies would make it unmissable.
30 - 39;Male;Other non-EU;10 - 49 (small);Financial Services;1;5;700;3;3;3;3;2;In-person only;1;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;I would return if a colleague recommended it and if the industries represented shifted more towards our current portfolio strategy.
30 - 39;Female;United Kingdom;1 - 9 (micro);Technology / Software;9;1;650;3;5;4;5;3;Hybrid (in-person + virtual);4;Warm and collaborative spirit throughout. I felt comfortable approaching anyone, which is a sign of excellent event design.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;A more focused industry track and pre-scheduled one-on-one meetings would make me return. The overall format is already strong.
50 - 59;Female;Germany;250 - 999 (large);Technology / Software;12;6;650;2;3;3;3;2;In-person only;0;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;Mixed impressions. Some deals could progress if the companies address specific concerns I raised during our conversations.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
50 - 59;Male;United States;50 - 249 (medium);Healthcare / Life Sciences;8;4;650;2;3;4;4;3;In-person only;2;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
40 - 49;Male;France;250 - 999 (large);Real Estate;4;6;1600;1;2;4;2;1;Hybrid (in-person + virtual);1;The energy was low. Many attendees seemed disengaged during the presentations and the networking breaks were too short.;Disappointed by the quality of the pipeline. Many presentations lacked the financial rigour we require before entering any serious dialogue.;The event would need to attract more senior decision-makers. Too many attendees were junior representatives without deal authority.
30 - 39;Male;United States;250 - 999 (large);Manufacturing / Industry;14;5;950;3;4;4;4;4;In-person only;6;Buzzing with energy from start to finish. The format encouraged real dialogue rather than superficial small talk.;Probability looks solid. One deal stood out as near investment-ready and I am already discussing it with my partners.;A more focused industry track and pre-scheduled one-on-one meetings would make me return. The overall format is already strong.
40 - 49;Female;Other EU;1,000+ (enterprise);Real Estate;5;4;900;5;4;4;5;5;Hybrid (in-person + virtual);6;The atmosphere exceeded my expectations. Well-organised, attentive staff and a high-calibre crowd made the day truly worthwhile.;Good prospects for at least one acquisition. The level of preparation from the founders was impressive and valuations seemed reasonable.;The event is already compelling. A slightly longer networking window and better materials from companies would make it unmissable.
50 - 59;Male;United Kingdom;10 - 49 (small);Technology / Software;13;10;700;3;4;4;3;3;Fully virtual;2;Warm and collaborative spirit throughout. I felt comfortable approaching anyone, which is a sign of excellent event design.;Probability looks solid. One deal stood out as near investment-ready and I am already discussing it with my partners.;Very likely to return. If the organisers add a dedicated deep-dive track for specific sectors it would further increase the value.
50 - 59;Male;Netherlands;250 - 999 (large);Real Estate;7;1;850;1;3;3;3;2;Hybrid (in-person + virtual);1;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;Moderate probability overall. A couple of companies are interesting but require further due diligence before I can assess seriously.;I would return if a colleague recommended it and if the industries represented shifted more towards our current portfolio strategy.
Under 30;Male;United Kingdom;250 - 999 (large);Other;10;4;1000;1;2;2;1;2;No preference;1;The atmosphere lacked direction. Without a clear facilitation structure the networking time quickly became unproductive.;Unlikely to result in an acquisition for us. The industries represented did not overlap with our current investment thesis.;The event would need to attract more senior decision-makers. Too many attendees were junior representatives without deal authority.
60 or older;Female;Netherlands;1 - 9 (micro);Energy / Cleantech;18;6;350;2;4;2;3;4;Hybrid (in-person + virtual);2;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;I would return if a colleague recommended it and if the industries represented shifted more towards our current portfolio strategy.
50 - 59;Male;United Kingdom;10 - 49 (small);Other;12;7;1400;1;1;3;2;3;No preference;0;Rather underwhelming. The venue was too large for the number of participants, which made the event feel sparse and impersonal.;Unfortunately not very promising. The deal flow did not align well with our sector focus and the financials on most companies were not compelling.;A complete overhaul of the presentation format is needed. Shorter pitches and more Q&A time would make the sessions more useful.
